Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Temp,Marker,Label
108007,1.28,7.77,5.48,-0.42,0.18,-0.06,32.3,DATA,0
108131,1.2,7.51,5.88,-0.26,-0.02,-0.01,32.32,DATA,0
108252,1.21,7.36,5.95,-0.23,-0.02,0,32.31,DATA,0
108376,1.25,7.4,5.97,-0.22,-0.07,0.03,32.31,DATA,0
108500,1.56,7.14,6.12,-0.28,0.04,-0.05,32.32,DATA,0
108623,1.41,6.94,6.5,-0.3,0.13,-0.07,32.32,DATA,0
108747,1.09,6.79,6.7,-0.26,-0.02,-0.08,32.31,DATA,0
108870,0.99,6.53,6.56,-0.29,0.05,-0.04,32.32,DATA,0
113991,0.5,1.65,9.47,-0.05,-0.04,-0.05,32.37,DATA,0
114149,0.43,1.84,9.12,-0.08,-0.09,-0.04,32.39,DATA,0
114232,0.88,1.5,9.39,-0.14,0,-0.12,32.35,DATA,0
114354,0.54,1.58,9.58,-0.04,0.06,0,32.38,DATA,0
114477,0.56,1.62,9.46,-0.05,-0.04,0,32.37,DATA,0
114600,0.68,1.53,9.44,-0.04,0.01,-0.01,32.38,DATA,0
114722,0.63,1.51,9.42,-0.04,0,-0.03,32.36,DATA,0
114847,0.51,1.65,9.19,-0.03,0.02,-0.03,32.38,DATA,0
114967,0,0,0,0,0,0,0,END,0
154253,0,0,0,0,0,0,0,START,0
154576,2.32,1.56,9.51,2.25,-0.11,0.07,32.36,DATA,0
154688,1.8,5.83,4.97,1.47,0.08,-0.2,32.34,DATA,0
154813,1.92,5.54,6.71,0.51,-0.27,-0.2,32.35,DATA,0
154935,1.34,5.36,7.29,1.14,0.15,-0.18,32.35,DATA,0
155060,1.4,7.22,5.78,1.9,0.45,-0.1,32.36,DATA,0
155200,1.76,9.5,0.96,0.64,0.03,-0.09,32.36,DATA,0
155337,1.32,10.4,0.41,-0.14,0.12,-0.05,32.36,DATA,0
155463,1.4,9.02,1.65,-1.23,-0.02,0.04,32.34,DATA,0
155585,0.61,6.53,4.82,-1.95,-0.12,0.03,32.34,DATA,0
155708,2.73,5.78,6.73,-1.73,0.51,0.11,32.35,DATA,0
155831,2.16,4.04,8.63,-1.5,-0.46,-0.11,32.33,DATA,0
155954,1.33,2.82,9.64,-1.07,-0.16,-0.09,32.33,DATA,0
156078,1.98,2.14,9.61,-0.73,-0.08,-0.07,32.35,DATA,0
